Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
Penta,Penta is a digital business bank platform designed to help startups and SMEs save time and money on banking.,https://www.crunchbase.com/organization/pentafintech,#REF!,,"Berlin, Berlin, Germany",Less than $1M,2016,"Accounting, Banking, Financial Services, FinTech, Small and Medium Businesses",101-250,M&A,23/02/2021,9113266,Series B,53826094,"S7V, finleap, HV Capital, RTP Global, Citius",0,0.5,1,1,0.85,Mature
TradeCore,TradeCore is a multi-product and full-service FinTech company developing unique tools for brokers and financial service providers.,https://www.crunchbase.com/organization/tradecore,#REF!,,"London, England, United Kingdom",$1M to $10M,2013,"Finance, Financial Exchanges, Financial Services, FinTech",,Seed,22/01/2018,3000000,Seed,3000000,South Central Ventures,,0.5,0,0,0.15,Nascent
Amun,"Amun is a leading technology company that aims to make purchasing digital assets accessible, safe, and efficient.",https://www.crunchbase.com/organization/amun-02c5,#REF!,,,,,,,Seed,11/03/2019,4000000,Seed,4000000,"HOF Capital, Hard Yaka, Boost VC, ETFS Capital",,1,0,0,0.3,Nascent
InvestCloud,InvestCloud is a global company specializing in digital platforms that enable the development of financial solutions.,https://www.crunchbase.com/organization/investcloud,#REF!,,"West Hollywood, California, United States",$10M to $50M,2010,"Cloud Management, Financial Services, FinTech, Outsourcing, Software",251-500,Private Equity,21/09/2016,,Private Equity,54060000,"Altos Ventures, FTV Capital, JP Morgan Chase, Polar Capital Management Inc., Kern Whelan Capital",2,1,0.66,1,0.83,Mature
Bond,Bond is an enterprise-grade financial technology platform streamlining the integration between brands and banks.,https://www.crunchbase.com/organization/bond-financial-technologies,#REF!,,"San Francisco, California, United States",Less than $1M,2019,FinTech,,Early Stage Venture,15/07/2020,32000000,Series A,42000000,"Goldman Sachs, Canaan Partners, Mastercard, B Capital Group, Coatue",,0.5,0.33,0,0.315,Nascent
Youtility,Youtility allows you to manage all your home finances from a single place.,https://www.crunchbase.com/organization/youtility,#REF!,,"London, England, United Kingdom",Less than $1M,2015,"Apps, Financial Services, FinTech",,,24/02/2020,5816095,Venture - Series Unknown,5816095,"Ascension, Chris Adelsbach, Barclays Ventures, Michael Spencer",,0.5,0.66,0,0.48,Emerging
AxeTrading,AxeTrading specializes in providing effective technology solutions for the challenges facing fixed income sell-side.,https://www.crunchbase.com/organization/axetrading,#REF!,,"London, England, United Kingdom",$1M to $10M,2010,"Information Technology, Marketing, Trading Platform",,,07/06/2017,2251144,Venture - Series Unknown,2251144,Illuminate Financial,0,1,0.66,0,0.63,Mature
Goalwise,Goalwise is a mutual fund investment platform that provides an investment plan to achieve financial goals.,https://www.crunchbase.com/organization/goalwise,#REF!,,"Bengaluru, Karnataka, India",$1M to $10M,2015,"Financial Services, FinTech, Impact Investing, Wealth Management",,M&A,24/05/2016,1000000,Seed,1000000,,,0.5,0,0,0.15,Nascent
Twisto,Twisto is a cashflow management and payment app that enables customers to pay for their online purchases with just one click.,https://www.crunchbase.com/organization/twisto-payments,#REF!,,"Prague, Hlavni mesto Praha, Czech Republic",$1M to $10M,2013,"FinTech, Mobile Apps, Mobile Payments",101-250,M&A,14/01/2021,19441281,Series C,59944098,"Zip Co, Secret Escapes, ING Ventures, Finch Capital, Kaya",0,0.5,1,1,0.85,Mature
EquityZen,EquityZen is a financial services company that provides an investment platform intended to connect shareholders of private companies.,https://www.crunchbase.com/organization/equityzen-inc,#REF!,,"New York, New York, United States",$10M to $50M,2013,"Finance, Financial Services, FinTech, Payments, Trading Platform",,Early Stage Venture,18/07/2017,3000000,Series B,11309374,"500 Startups, Draper Associates, Kima Ventures, Amino Capital, FinTech Sandbox",0,0.5,1,0,0.65,Mature
Prattle Analytics,Prattle automates investment research by quantifying market-moving language.,https://www.crunchbase.com/organization/prattle,#REF!,,"St Louis, Missouri, United States",$1M to $10M,2013,"Financial Services, Text Analytics",,M&A,24/01/2017,3300000,Seed,3300000,"New Enterprise Associates, MassChallenge, GCM Grosvenor, Plug and Play Tech Center",2,0.5,0,0,0.15,Nascent
Boost Capital,A UK-based specialist business lender.,https://www.crunchbase.com/organization/boost-capital,#REF!,,"Chelmsford, Essex, United Kingdom",$1M to $10M,2012,"Financial Services, Lending",,,12/04/2017,18823553,Debt Financing,18823553,Atalaya Capital,,0.5,0.66,0,0.48,Emerging
Acuminor,Acuminor is a regulatory technology company based in Stockholm.,https://www.crunchbase.com/organization/acuminor,#REF!,,"Stockholm, Stockholms Lan, Sweden",Less than $1M,2018,Finance,,Seed,09/01/2019,1692134,Seed,1692135,Brightly Ventures,0,0.5,0,0,0.15,Nascent
Abe AI,Abe builds conversational banking solutions for progressive banks.,https://www.crunchbase.com/organization/abe-ai,#REF!,,"Orlando, Florida, United States",,2016,"Artificial Intelligence, Financial Services, Machine Learning, Personal Finance, Software",,M&A,24/04/2017,425000,Seed,425000,"Techstars, Barclays Accelerator, powered by Techstars - London",,0.5,0,0,0.15,Nascent
ChitMonks,ChitMonks is India's FIRST and ONLY online market place for promoting chit fund companies.,https://www.crunchbase.com/organization/chitmonks,#REF!,,"Hyderabad, Andhra Pradesh, India",,2016,"E-Commerce, Finance, Financial Services, Lending",,Seed,01/07/2020,650000,Seed,767000,"Unicorn India Ventures, Kishore Ganji, Bharat Inclusion Seed Fund",,0.5,0,0,0.15,Nascent
Planixs,Planixs is a Graphite Platform Company.,https://www.crunchbase.com/organization/planixs,#REF!,,"Manchester, Manchester, United Kingdom",$50M to $100M,2011,Information Technology,101-250,Seed,26/02/2019,4640648,Seed,4640648,Business Growth Fund,,1,0,1,0.5,Emerging
Great Rock Capital,Great Rock Capital is an asset-focused commercial finance company,https://www.crunchbase.com/organization/great-rock-capital,#REF!,,"Westport, Connecticut, United States",Less than $1M,2015,"Finance, Financial Services, Venture Capital",,,21/08/2019,33863102,Debt Financing,83863103,Oculus Transport,,0.5,0.66,0,0.48,Emerging
Change Donations,Change Donations is a micro-donation platform helping charities fundraise more efficiently and connect with a younger generation,https://www.crunchbase.com/organization/change-donations,#REF!,,"Dublin, Dublin, Ireland",Less than $1M,2018,"FinTech, Internet, Non Profit",,Seed,04/02/2020,883596,Seed,883596,"Enterprise Ireland, Elkstone Capital Partners, Paladin Capital Group, LaunchBox",,0.5,0,0,0.15,Nascent
AlgoMerchant,AlgoMerchant is a Singapore-based FinTech company who provides fully AI-driven solution for stock traders & portfolio managers,https://www.crunchbase.com/organization/algomerchant,#REF!,,"Singapore, Central Region, Singapore",$1M to $10M,2013,"Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning, Mobile Apps",,,03/11/2017,2000000,Venture - Series Unknown,3300000,East Ventures,,0.5,0.66,0,0.48,Emerging
OpenDoor Trading,"OpenDoor Trading (ODT) enhances liquidity of Off-the-Run Treasuries (OFTR’s) and TIPS, the principal pain points in US Treasuries.",https://www.crunchbase.com/organization/opendoor-trading,#REF!,,"Jersey City, New Jersey, United States",Less than $1M,2015,"Asset Management, Financial Services, Software, Trading Platform",,Early Stage Venture,29/01/2018,10000000,Series A,32000000,"Hartfield Titus & Donnelly, John Brynjolfsson",,0.5,0.33,0,0.315,Nascent
Xena Exchange,Xena Exchange - digital assets exchange from investment banking professionals,https://www.crunchbase.com/organization/xena-exchange,#REF!,,"Dublin, Dublin, Ireland",,2017,Financial Services,,Seed,01/12/2018,,Pre-Seed,3000000,"Joint Journey, Klever Internet",,0.5,0.66,0,0.48,Emerging
Lucena Research,"Lucena Research offers decision support technology services for investment professionals, including hedge funds and wealth advisors.",https://www.crunchbase.com/organization/lucena-research,#REF!,,"Atlanta, Georgia, United States",Less than $1M,2014,"Analytics, FinTech, Machine Learning, Service Industry, Software",,,04/09/2015,650000,Venture - Series Unknown,2925000,,0,0.5,0.66,0,0.48,Emerging
StockViews,StockViews is an investment research platform.,https://www.crunchbase.com/organization/stockviews,#REF!,,"London, England, United Kingdom",$1M to $10M,2014,"Analytics, Artificial Intelligence, Asset Management, Financial Services, FinTech",,,01/10/2019,245834,Undisclosed,1985714,"Startupbootcamp, Fuel Ventures, London Co-Investment Fund, GWC Innovator Fund, Craigie Capital",,0.5,0,0,0.15,Nascent
iJoin Success,iJoin Success is a financial services company that offers investments and retirement plan technologies.,https://www.crunchbase.com/organization/ijoin-success,#REF!,,"Scottsdale, Arizona, United States",,2017,"Finance, Financial Services, Retirement",,,28/06/2021,600000,Venture - Series Unknown,1600000,,,0.5,0.66,0,0.48,Emerging
Woonivers,Woonivers is a financial service company that provides digital tax-free shopping solutions.,https://www.crunchbase.com/organization/woonivers,#REF!,,"Madrid, Madrid, Spain",,2018,"Finance, Financial Services, Travel",,Early Stage Venture,25/02/2020,1740776,Series B,1740777,"OneRagtime, Encomenda VC",,0.5,1,0,0.65,Mature
W2 Global Data,"W2 Global Data is a provider of international data, software and services.",https://www.crunchbase.com/organization/w2-global-data,#REF!,,"Cardiff, Cardiff, United Kingdom",$1M to $10M,2011,"Data Storage, Information Services, Software",,Early Stage Venture,29/10/2018,3840570,Series A,3840570,"Mercia Fund Managers, Development Bank of Wales, Shawbrook Bank, Mercia Asset Management PLC, Simpleweb",,1,0.33,0,0.465,Emerging
Stamp,Stamp is specializing in tax free and interested in growing in the eastern tourism market,https://www.crunchbase.com/organization/stamp-taxfree,#REF!,,"Amsterdam, Noord-Holland, The Netherlands",$1M to $10M,2017,"Marketing, Shopping, Travel",,Seed,29/05/2019,1503697,Seed,1503697,"Cabiedes & Partners, ZhenFund, btov Partners, IC Global Partners",,0.5,0,0,0.15,Nascent
altFINS,altFINS is a cloud-based platform allowing investors and traders to track and analyze digital assets across various platforms.,https://www.crunchbase.com/organization/altfins,#REF!,,"Bratislava, Bratislava, Slovakia (Slovak Republic)",,2018,"Analytics, Financial Services, Trading Platform",,Seed,31/07/2020,1177879,Seed,1177880,CB Investment Management,,0.5,0,0,0.15,Nascent
Regnosys,REGnosys is a Regulatory Fintech.,https://www.crunchbase.com/organization/regnosys,#REF!,,"London, England, United Kingdom",Less than $1M,2016,"Finance, Financial Services, FinTech",,Seed,25/05/2017,900000,Seed,900000,Patrick de Nonneville,,0.5,0,0,0.15,Nascent
KyePot,"Kyepot, a mobile platform, offers users with social financial services, including community-based saving, lending, and borrowing facilities.",https://www.crunchbase.com/organization/kyepot,#REF!,,"Mumbai, Maharashtra, India",$1M to $10M,2015,"Finance, Financial Services, FinTech",,Seed,08/08/2019,,Seed,215899,"Startupbootcamp, growX ventures, Startup-O, Startupbootcamp FinTech Singapore",,0.5,0,0,0.15,Nascent
FINBOA,FINBOA provides a SaaS automation platform that helps banks track disputes and improve customer experience.,https://www.crunchbase.com/organization/finboa,#REF!,,"Houston, Texas, United States",Less than $1M,2016,"Banking, Financial Services, SaaS, Software",,Seed,01/07/2020,,Seed,140000,"CFV Ventures, Queen City Fintech, FSS Investments, LLC",,0.5,0,0,0.15,Nascent
Lincoln Savings Bank,"Lincoln Savings Bank is a financial services company offering checking, savings, credit cards, and loan services.",https://www.crunchbase.com/organization/lincoln-savings-bank,#REF!,,"Reinbeck, Iowa, United States",$10M to $50M,1902,"Banking, Finance, Financial Services",251-500,,20/03/2015,15000000,Venture - Series Unknown,15000000,,,1,0.66,1,0.83,Mature
Cadence,Cadence is a workplace tool that saves time for business meetings.,https://www.crunchbase.com/organization/cadence-6901,#REF!,,"San Mateo, California, United States",,1988,"Information Technology, Meeting Software, Software",,Seed,16/03/2020,150000,Seed,150000,"Y Combinator, Soma Capital",,1,0,0,0.3,Nascent
Smart Ag,Smart Ag is leading the transition to autonomous farming,https://www.crunchbase.com/organization/smart-ag,#REF!,,"Ames, Iowa, United States",$1M to $10M,2015,"Agriculture, Computer, Farming",,M&A,14/06/2018,5000000,Venture - Series Unknown,5000000,Stine Seed Inc.,2,0.5,0.66,0,0.48,Emerging
Gecko Governance,GECKO Governance is a new RegTech Blockchain solution to allow fund managers to monitor & manage their regulation and compliance requirement,https://www.crunchbase.com/organization/gecko-4,#REF!,,"Dundalk, Louth, Ireland",Less than $1M,2015,"Blockchain, Computer, Software",,Early Stage Venture,13/03/2019,1400000,Series A,2400000,COSIMO Ventures,,0.5,0.33,0,0.315,Nascent
Scaled Risk,"Scaled Risk delivers a cloud-ready, self-service reporting and analytics platform for financial institutions.",https://www.crunchbase.com/organization/scaled-risk,#REF!,,"Paris, Ile-de-France, France",Less than $1M,2012,"Analytics, Big Data, Financial Services, Software",,,22/10/2018,3439420,Venture - Series Unknown,3439420,"ODYSSEE VENTURE, FINAXYS",,0.5,0.66,0,0.48,Emerging
Bruno,Bruno is building a new way to interact with money.,https://www.crunchbase.com/organization/bruno,#REF!,,"Paris, Ile-de-France, France",$1M to $10M,2017,"Banking, Financial Services, FinTech",,Seed,05/02/2018,1236627,Seed,1236627,"360 Capital, Julien Lemoine, Julien Coulon",0,0.5,0,0,0.15,Nascent
NOWO,Helps Swedes eliminate pension agony by offering savings in a simpler and more fun way.,https://www.crunchbase.com/organization/nowonomics,#REF!,,"Stockholm, Stockholms Lan, Sweden",$1M to $10M,2014,"Apps, Financial Services, Internet, Retirement",,,18/10/2018,2211601,Venture - Series Unknown,4361602,NFT Ventures,0,0.5,0.66,0,0.48,Emerging
Utocat,Utocat offers a solution for managing the registration and life of unlisted securities by automating the transfer process.,https://www.crunchbase.com/organization/utocat,#REF!,,"Lille, Nord-Pas-de-Calais, France",Less than $1M,2014,"Blockchain, Finance, Financial Services, Insurance, Software",,,05/10/2018,1844380,Venture - Series Unknown,2405673,"Bpifrance, Angelsquare, BNP Paribas Private Equity, Leap Ventures",0,0.5,0.66,0,0.48,Emerging
PeerNova,Cuneiform® is a zero-code platform that provides continuous data quality and simplifies exception resolution.,https://www.crunchbase.com/organization/peernova,#REF!,,"San Jose, California, United States",$1M to $10M,2013,"Big Data, Blockchain, Cyber Security, Privacy",51-100,,22/10/2019,31000000,Venture - Series Unknown,61588164,"Blockchain Capital, Overstock, Revolution, Three Tree Ventures, Medici Ventures",13,0.5,0.66,1,0.68,Mature
AccessFintech,AccessFintech is a UK-based fintech firm that offers risk management service for banks and buyside firms and tracks the trade lifecycle.,https://www.crunchbase.com/organization/accessfintech,#REF!,,"New York, New York, United States",$1M to $10M,2016,"Financial Services, FinTech, Risk Management",,Early Stage Venture,06/10/2020,20000000,Series B,37500000,"Citi, Goldman Sachs, JP Morgan, Credit Suisse, Dawn Capital",,0.5,1,0,0.65,Mature
InvestLab,InvestLab is an on-demand financial services technology company serving the global investment market.,https://www.crunchbase.com/organization/investlab,#REF!,,"Hong Kong, Hong Kong Island, Hong Kong",$1M to $10M,2010,"Finance, Financial Services, FinTech, SaaS, Stock Exchanges",,Early Stage Venture,09/03/2012,10000000,Series A,10000000,"Citi Ventures, VantagePoint Capital Partners",1,1,0.33,0,0.465,Emerging
uBank,uBank develops mobile payment solutions to ensure secured customer transactions.,https://www.crunchbase.com/organization/ubank,#REF!,,"Moscow, Moscow City, Russian Federation",$1M to $10M,2011,"Finance, Mobile, Mobile Payments, Payments",,Early Stage Venture,09/04/2018,,Series B,9500000,"Runa Capital, Inventure Partners, Laura Ashizheva",,1,1,0,0.8,Mature
Frontclear,Frontclear is a financial markets development company focused on catalyzing stable,https://www.crunchbase.com/organization/frontclear,#REF!,,"Amsterdam, Noord-Holland, The Netherlands",$10M to $50M,2015,"Banking, Finance, Financial Services",,,13/02/2017,30000000,Venture - Series Unknown,30000000,FMO,,0.5,0.66,0,0.48,Emerging
NestEgg Japan,"Nestegg is a Planning, development and operation of savings and settlement services.",https://www.crunchbase.com/organization/nestegg-japan,#REF!,,"Tokyo, Tokyo, Japan",,2016,"Asset Management, Finance, Financial Services",,Seed,12/11/2019,2293501,Seed,4105177,"SBI Investment, ITOCHU Corporation, SMBC Venture Capital, Mitsubishi UFJ Capital, Nihon Unisys",,0.5,0,0,0.15,Nascent
My Money Jar,My Money Jar is a financial wellbeing app.,https://www.crunchbase.com/organization/my-money-jar,#REF!,,"Dublin, Dublin, Ireland",$1M to $10M,2018,"Financial Services, FinTech",,Seed,19/03/2020,745861,Seed,745862,Enterprise Ireland,,0.5,0,0,0.15,Nascent
Signature Bancorporation,Signature Bancorporation is a commercial banking company,https://www.crunchbase.com/organization/signature-bancorporation,#REF!,,"Rosamond, Illinois, United States",Less than $1M,2006,"Banking, Commercial, Financial Services, Venture Capital",51-100,,12/06/2018,15000000,Debt Financing,15000000,,,1,0.66,1,0.83,Mature
Prevedere,Prevedere 's Intelligent Enterprise Forecasting Solution provides companies global data and advanced AI/ML to improve forecasts,https://www.crunchbase.com/organization/prevedére,#REF!,,"Sunnyvale, California, United States",$1M to $10M,2012,"Analytics, Artificial Intelligence, Big Data, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software",,Early Stage Venture,26/03/2019,12000000,Series B,32251530,"Norwest Venture Partners, Foundation Capital, Silicon Valley Bank, WestWave Capital, Plug and Play Tech Center",,0.5,1,0,0.65,Mature
DigiCash Technology Venture,DigiCash Technology Venture aims to enrich the lives of unbanked people by seamlessly integrating them into the global financial system.,https://www.crunchbase.com/organization/digicash-technology-venture,#REF!,,"Braz, Sao Paulo, Brazil",,2018,"Finance, Financial Services, FinTech",,,28/02/2020,4256128,Venture - Series Unknown,4256128,,,0.5,0.66,0,0.48,Emerging
CreditPoint Software,CreditPoint Software is a SaaS platform that offers B2B credit risk and collections management solutions.,https://www.crunchbase.com/organization/creditpoint-software,#REF!,,"Owasso, Oklahoma, United States",$1M to $10M,2000,"Credit, Financial Services, SaaS, Small and Medium Businesses, Software",,,23/03/2015,882958,Venture - Series Unknown,1007958,,0,1,0.66,0,0.63,Mature
CoInvestor,"Alternative asset investment platform connecting advisers and investors with premium tax-efficient, capital growth and yield investments",https://www.crunchbase.com/organization/coinvestor-co,#REF!,,"London, England, United Kingdom",$10M to $50M,2014,"Financial Services, FinTech, Funding Platform, Information Technology",,,06/09/2018,,Venture - Series Unknown,1363245,Tech Nation Fintech,,0.5,0.66,0,0.48,Emerging
Change Labs,Change Labs is an award-winning A.I company that is helping financial institutions to improve financial health of their retail customers,https://www.crunchbase.com/organization/change-labs-2,#REF!,,"New York, New York, United States",,2015,"Finance, Financial Services, FinTech",,,30/05/2018,1400000,Venture - Series Unknown,2200000,Nielsen Innovate,,0.5,0.66,0,0.48,Emerging
Groupe Santiane,Groupe Santiane is an insurance firm specialized in health insurance brokerage for individuals and companies.,https://www.crunchbase.com/organization/groupe-santiane,#REF!,,"Nice, Provence-Alpes-Cote d'Azur, France",,2007,"Health Insurance, Insurance, Life Insurance",501-1000,M&A,01/01/2013,52829550,Private Equity,59528462,BNP Paribas Private Equity,,1,0.66,1,0.83,Mature
Prive Technologies,Prive Technologies is a leading innovator in the financial and wealth management industries.,https://www.crunchbase.com/organization/prive-technologies,#REF!,,"Hong Kong, Hong Kong Island, Hong Kong",,2011,"Financial Services, FinTech, Information Services, Information Technology, PaaS, SaaS, Software, Wealth Management",101-250,Early Stage Venture,15/07/2021,,Series B,,"Credit Suisse, Samsung Ventures",,1,1,1,1,Mature
M-DAQ,M-DAQ provides a sustainable ecosystem for securities and stock exchanges to enable multi-currency trading on a cross-border basis.,https://www.crunchbase.com/organization/m-daq,#REF!,,"Singapore, Central Region, Singapore",$10M to $50M,2010,"Banking, Finance, Security",,,13/11/2019,,Venture - Series Unknown,98700000,"Citi Ventures, Ant Group, EDBI, Samsung Ventures, GSR Ventures",2,1,0.66,0,0.63,Mature
Neurensic,Machine learning regtech firm offering SaaS surveillance technology for detection of financial markets manipulation.,https://www.crunchbase.com/organization/neurensic,#REF!,,"Chicago, Illinois, United States",$1M to $10M,2015,"FinTech, SaaS, Software",,M&A,07/02/2017,1779888,Angel,8502622,,,0.5,0.66,0,0.48,Emerging
Fiinu,Fiinu is a British banking start-up undergoing the Bank of England authorisation.,https://www.crunchbase.com/organization/fiinu,#REF!,,"Weybridge, Surrey, United Kingdom",$1M to $10M,2017,"Apps, Banking, Financial Services",,,18/12/2018,712593,Equity Crowdfunding,712593,,,0.5,0.66,0,0.48,Emerging
Allvue Systems,Allvue Systems is formed form the merger of Black Mountain and AltaReturn.,https://www.crunchbase.com/organization/allvue-systems,#REF!,,"Miami, Florida, United States",$1M to $10M,2019,"Business Intelligence, CRM, Financial Services, Information Technology, Payments, Software, Telecommunications",101-250,M&A,,,,,,,0.5,0.33,1,0.515,Emerging
Portify,A new way to build credit,https://www.crunchbase.com/organization/portify,#REF!,,"London, England, United Kingdom",$1M to $10M,2017,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Information Technology, Internet",,,22/09/2020,,Venture - Series Unknown,11137990,"Entrepreneur First, Charlie Songhurst, Redalpine, Paul Forster, Kindred Capital",,0.5,0.66,0,0.48,Emerging
AIM (Automated Investment Management),AIM is an online platform that allows its users to make trades and investments via smartphone.,https://www.crunchbase.com/organization/aim-automated-investment-management,#REF!,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2016,"Finance, Financial Services, FinTech, Information Technology",,Seed,01/02/2017,1600000,Seed,1600000,"Startupbootcamp, Seoul Business Agency(SBA), Soorim, DT&I",,0.5,0,0,0.15,Nascent
Starship,Starship is mobile health savings account (HSA) with automated investing built for humans.,https://www.crunchbase.com/organization/starship-hsa,#REF!,,"New York, New York, United States",Less than $1M,2016,"Banking, Financial Services, FinTech, Health Care, Mobile Apps, Mobile Payments, Payments, Personal Finance, Personal Health, Software",,Early Stage Venture,04/12/2019,7000000,Series A,7000000,"500 Startups, Valar Ventures, Third Prime, Clocktower Technology Ventures, Broadhaven Capital Partners",,0.5,0.33,0,0.315,Nascent
Trill A.I.,Machine learning analysis platform for asset managers,https://www.crunchbase.com/organization/trill-a-i,#REF!,,"Cary, North Carolina, United States",Less than $1M,2014,"Artificial Intelligence, Finance, Financial Services, Machine Learning, Natural Language Processing",,Seed,09/02/2018,769989,Seed,2789989,,,0.5,0,0,0.15,Nascent
Caringcent,Caringcent is an innovative philanthropy-focused fintech company.,https://www.crunchbase.com/organization/caringcent,#REF!,,"Albuquerque, New Mexico, United States",$1M to $10M,2015,"Financial Services, FinTech",,,02/11/2017,775000,Venture - Series Unknown,775000,,0,0.5,0.66,0,0.48,Emerging
obopay,"Obopay is a mobile application that allows consumers and businesses to purchase, pay, and transfer money through any mobile phone.",https://www.crunchbase.com/organization/obopay,#REF!,,"Bangalore, Karnataka, India",$10M to $50M,2005,"Financial Services, Mobile, Mobile Payments",101-250,,25/07/2011,8760181,Venture - Series Unknown,144760181,"Citi, Nokia, Qualcomm Ventures, Redpoint, Qualcomm",2,1,0.66,1,0.83,Mature
InstaVal,Data Driven Investment Readiness Platform made to promote equity investments in startups and scaleups.,https://www.crunchbase.com/organization/instaval,#REF!,,"Dubai, Dubai, United Arab Emirates",,2019,FinTech,,Seed,25/01/2019,17103,Pre-Seed,17104,,,0.5,0.66,0,0.48,Emerging
MarketsFlow,Digital Wealth Management Platform .,https://www.crunchbase.com/organization/marketsflow,#REF!,,"London, England, United Kingdom",Less than $1M,2016,"Finance, FinTech, Management Information Systems, Wealth Management",,Seed,19/08/2019,,Pre-Seed,1745495,"Crowdcube, Serge Chiaramonte, The Holt Xchange",,0.5,0.66,0,0.48,Emerging
Finabro,FINABRO is your consultant for saving & investing!,https://www.crunchbase.com/organization/finabro,#REF!,,"Vienna, Wien, Austria",Less than $1M,2016,"Banking, Finance, Financial Services, FinTech",,Seed,23/06/2017,671579,Seed,671580,UNIQA Ventures,0,0.5,0,0,0.15,Nascent
Prometeo,Prometeo is the largest Open Banking platform in Latin America,https://www.crunchbase.com/organization/prometeo,#REF!,,"Montevideo, NA - Uruguay, Uruguay",,2018,"Banking, Financial Services, FinTech",,Seed,01/02/2021,,Seed,,"Hustle Fund, Magma Partners, Kalonia Venture Partners, MyAsia VC, Finnovista",,0.5,0,0,0.15,Nascent
CoPower,CoPower is an online platform that simplifies clean energy investing.,https://www.crunchbase.com/organization/copower,#REF!,,"Montréal, Quebec, Canada",$1M to $10M,2013,"Clean Energy, Energy, Impact Investing, Wealth Management",,M&A,31/07/2017,2000000,Venture - Series Unknown,5896972,"RBC Capital, Fondaction, Ferst Capital Partners - FCP, RBC Generator Fund, ProMontreal Entrepreneurs",0,0.5,0.66,0,0.48,Emerging
Alpha Theory,Alpha Theory mission To transform the investment process by instilling discipline in every decision,https://www.crunchbase.com/organization/alpha-theory,#REF!,,"New York, New York, United States",$10M to $50M,2006,"Financial Services, Real Time, Risk Management, Sports",,,12/02/2016,350000,Venture - Series Unknown,741000,,,1,0.66,0,0.63,Mature
Brand New Day,"Brand New Day is provides asset management, wealth management, and insurance brokerage services.",https://www.crunchbase.com/organization/brand-new-day,#REF!,,"Amsterdam, Noord-Holland, The Netherlands",$1M to $10M,2009,"Financial Services, Wealth Management",51-100,M&A,22/03/2019,28266249,Undisclosed,28266250,"De Hoge Dennen Capital, VvAA, Hartwig, ASR",0,1,0,1,0.5,Emerging
Baton Systems,"Baton Systems specializes in the fields of payments, clearing, settlement, technology, fintech, and shared ledger.",https://www.crunchbase.com/organization/baton-6ec5,#REF!,,"Fremont, California, United States",$1M to $10M,2016,"Financial Services, Information Technology, Software",,Early Stage Venture,30/01/2020,4000000,Series A,19100000,"Trinity Ventures, Commerce Ventures, Illuminate Financial, Alsop Louie Partners",12,0.5,0.33,0,0.315,Nascent
Calypso Technology,"Calypso Technology provides an integrated trading, risk and processing platform for financial institutions and corporate treasuries.",https://www.crunchbase.com/organization/calypso-technology,#REF!,,"San Francisco, California, United States",,1997,"Cloud Computing, Enterprise Software, Financial Services, FinTech, Information Technology, Risk Management, Software, Trading Platform",251-500,M&A,,,,,,0,1,0.33,1,0.665,Mature
ABAKA Holdings,ABAKA is the Enterprise platform powered by Artificial Intelligence enabling institutions to build digital retirement solutions,https://www.crunchbase.com/organization/abaka-holdings,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Artificial Intelligence, Finance, Financial Services, FinTech, Information Technology, Machine Learning, Retirement, SaaS, Software",,,21/10/2020,,Non-equity Assistance,9820000,"MassChallenge, Anthemis Group, ACE & Company, Plug and Play Tech Center, Downing Ventures",,0.5,0.66,0,0.48,Emerging
Truxton Trust,"Truxton Trust is a private bank and wealth management firm serving high net worth individuals, their families and their business interests.",https://www.crunchbase.com/organization/truxtontrust,#REF!,,"Nashville, Tennessee, United States",$10M to $50M,2004,Financial Services,101-250,,29/09/2020,15000000,Debt Financing,15000000,,,1,0.66,1,0.83,Mature
DealMatrix,DealMatrix is a flexiable software solution for innovation scouting professionals & deal flow management solutions,https://www.crunchbase.com/organization/dealmatrix,#REF!,,"Wollersdorf, Niederosterreich, Austria",Less than $1M,2015,"Analytics, Big Data, Enterprise Software, SaaS, Software",,Seed,13/07/2016,332981,Seed,332982,Venionaire Capital,,0.5,0,0,0.15,Nascent
TreasuryCurve,Treasury Curve is a fintech company that provides a cloud-based treasury management system.,https://www.crunchbase.com/organization/treasurycurve,#REF!,,"Menlo Park, California, United States",$1M to $10M,2006,"Financial Services, FinTech, Infrastructure, Security, Software",,,12/11/2020,200000,Venture - Series Unknown,200000,,0,1,0.66,0,0.63,Mature
MindLink Software,MindLink provides business critical collaboration enabled through Enterprise Chat.,https://www.crunchbase.com/organization/mindlink-software,#REF!,,"London, England, United Kingdom",Less than $1M,2011,"Cyber Security, Developer APIs, Email, Information Technology, Messaging, Software",,Seed,18/05/2016,1000000,Seed,1000000,,0,1,0,0,0.3,Nascent
